source;destination;year
Data.gouv.fr;DataSHOM;x
GeoRhoneAlpes;EauFrance;x
PIGMA;Geoplateforme17;x
Geocatalogue;SIGLOIRE;x
GeoNormandie;Sextant;x
GeoRhoneAlpes;CRAIG;x
GeoNormandie;Geocatalogue;x
GeoBourgogne;GIP_PNFCB;x
GeoCentre;UnivTours;2015
Data.gouv.fr;GeoPicardie;x
Data.gouv.fr;GeoLimousin;x
Geocatalogue;GeoBourgogne;x
GeoNormandie;GeoManche;x
PIGMA;Cartorisque;x
GeoBretagne;GIP_Bretagne_Environnement;x
Geocatalogue;PEGASE;x
Sextant;Cartomer;x
GeoBretagne;GeoSAS;x
GeoMartinique;OEM;x
GeoNormandie;Geo-IDE;x
GEOPAL;GeoVendee;x
Geocatalogue;GeoRhoneAlpes;x
Mipygeo;EauFrance;2015
PPIGE;EauFrance;x
GeoRhoneAlpes;SIGLR;x
GeoBretagne;EauFrance;x
PIGMA;OCA;x
GeoMartinique;CG972;x
Geocatalogue;Mipygeo;x
PIGMA;Geo-IDE;x
GeoNormandie;ROLNP;x
CIGAL;CG68;x
PPIGE;CG59;x
Data.gouv.fr;PPIGE;x
PIGMA;Igecom40;x
Geocatalogue;GeoPicardie;x
PIGMA;ATD24;x
GeoBretagne;LorientAgglomeration;x
Data.gouv.fr;SIGLR;2015
GeoMartinique;Sextant;x
SIGPyrenees;Crigeos;2015
Geocatalogue;CRAIG;x
CRAIG;GeoRhoneAlpes;x
Sextant;PEIGEO;x
GeoNormandie;GeoCentre;x
Data.gouv.fr;EauFrance;x
Data.gouv.fr;CRAIG;x
Data.gouv.fr;GeoRhoneAlpes;x
GeoRhoneAlpes;ProdigeAuvergne;x
GeoNormandie;GEOPAL;x
PIGMA;EauFrance;x
Data.gouv.fr;CIGAL;x
Atlasante;GeoBretagne;x
GEOPAL;SIGLOIRE;x
GeoCentre;Atlasante;2015
GeoRhoneAlpes;GestionCriseSE;x
PPIGE;SIGALE;x
Geocatalogue;GeoLimousin;x
Geocatalogue;CRIGE-PACA;x
Data.gouv.fr;Geocatalogue;x
CIGAL;Geocatalogue;x
Data.gouv.fr;GeoBourgogne;x
Geocatalogue;EauFrance;x
Cartorisque;Geocatalogue;x
GeoBourgogne;CUCM;x
PEIGEO;Sextant;x
GeoBourgogne;Geo-IDE;x
Geocatalogue;GeoNormandie;x
PEGASE;Geoplateforme17;x
PEGASE;EauFrance;x
Atlasante;GeoRhoneAlpes;x
SIGOGNE;Geocatalogue;x
GeoGuyane;Atlasante;x
Cartorisque;SINP;x
OpenIG;EauFrance;2017
Geocatalogue;SIGLR;x
Data.gouv.fr;KARUGEO;2017
GeoRhoneAlpes;LyonMetropole;x
GeoNormandie;GeoBretagne;x
SIGOGNE;SINP;x
Geocatalogue;PIGMA;x
Geocatalogue;CIGAL;x
Geocatalogue;GeoGuyane;x
GeoBourgogne;GeoRhoneAlpes;x
GeoRhoneAlpes;CRIGE-PACA;x
CIGAL;CG67;x
GEOPAL;GeoAnjou;x
Geocatalogue;GeoCentre;x
GeoNormandie;PNRNormandieMaine;x
GeoRhoneAlpes;Geo-IDE;x
PEGASE;Geo-IDE;x
GeoNormandie;GeoServiceCalvados;x
Geocatalogue;GEOPAL;x
Data.gouv.fr;PEGASE;2017
GEOPAL;GeoMayenne;x
GeoPicardie;ProdigePicardie;x
Data.gouv.fr;PIGMA;x
GeoBourgogne;MSH_Dijon;x
GEOPAL;INDIGEO;x
GeoMartinique;GeoGuyane;x
PEIGEO;Geocatalogue;x
Cartomer;DataSHOM;x
Geocatalogue;Sextant;x
CRAIG;ProdigeAuvergne;x
GeoNormandie;CG50;x
GeoNormandie;EauFrance;x
PIGMA;BordeauxMetropole;x
GeoCentre;DREAL_Centre;2015
Mipygeo;Geo-IDE;2015
GeoCentre;CG37;2015
GeoBretagne;PaysDeBrest;x
PPIGE;GeoPicardie;x
GeoBourgogne;GrandDijon;x
Geocatalogue;SINP;x
Data.gouv.fr;CRIGE-PACA;x
Geocatalogue;DataSHOM;x
GeoGuyane;CEBA;x
PPIGE;NOREADE;x
Data.gouv.fr;GEOPAL;2017
Cartomer;Sextant;x
GeoNormandie;INDIGEO;x
GeoSud;Theia;x
GeoNormandie;PNRCotentin;x
Cartorisque;EauFrance;x
CRAIG;ClermontCommunaut_;x
GeoBretagne;AirBreizh;x
GeoBretagne;Geo-IDE;x
KARUGEO;PRODIGE971;2017
Geocatalogue;PPIGE;x
Atlasante;GeoGuyane;x
OpenIG;Geo-IDE;2017
GeoPicardie;CG02;x
PIGMA;CRAIG;x
GeoRhoneAlpes;GeoBourgogne;x
Sextant;Geoplateforme17;x
ONML;Sextant;x
GEOPAL;Geoplateforme17;x
GEOPAL;GeoBretagne;x
GeoBretagne;RegionBretagne;x
GeoBourgogne;INAO;x
Data.gouv.fr;OpenIG;2017
SIGOGNE;Cartorisque;x
